Subject,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0110_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0111_OE,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0112_OE,2
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0115_FIB,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0116_FIB,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0118_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0119_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0120_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0121_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0122_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0123_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0124_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0125_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0126_OE,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0127_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0128_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0129_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0130_MCQ,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0131_OE,1
PSC,P6,7,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0132_MCQ,1
